"","x"
"1",1
"2",7
"3",8
"4",11
"5",15
"6",16
"7",19
"8",26
"9",33
"10",39
"11",45
"12",47
"13",48
"14",49
"15",55
"16",61
"17",62
"18",63
"19",67
"20",68
"21",70
"22",71
"23",76
"24",83
"25",94
"26",96
"27",102
"28",104
"29",107
"30",109
"31",110
"32",111
"33",119
"34",123
"35",128
"36",130
"37",135
"38",143
"39",150
"40",169
"41",170
"42",175
"43",183
"44",186
"45",189
"46",191
"47",201
"48",203
"49",204
"50",209
"51",210
"52",211
"53",217
"54",219
"55",220
"56",222
"57",226
"58",227
"59",236
"60",238
"61",244
"62",248
"63",259
"64",267
"65",268
"66",271
"67",272
"68",275
"69",285
"70",288
"71",293
"72",297
"73",298
"74",303
"75",319
"76",322
"77",330
"78",331
"79",333
"80",335
"81",337
"82",339
"83",340
"84",341
"85",344
"86",347
"87",348
"88",359
"89",364
"90",365
"91",373
"92",378
"93",379
"94",385
"95",388
"96",392
"97",394
"98",395
"99",396
"100",399
"101",403
"102",409
"103",410
"104",418
"105",434
"106",440
"107",442
"108",444
"109",448
"110",451
"111",456
"112",463
"113",468
"114",469
"115",472
"116",486
"117",494
"118",504
"119",513
"120",519
"121",521
"122",522
"123",526
"124",530
"125",533
"126",538
"127",543
"128",548
"129",551
"130",557
"131",558
"132",560
"133",571
"134",576
"135",577
"136",578
"137",579
"138",601
"139",602
"140",605
"141",607
"142",610
"143",611
"144",617
"145",619
"146",620
"147",637
"148",640
"149",646
"150",654
"151",655
"152",662
"153",666
"154",668
"155",670
"156",673
"157",675
"158",679
"159",689
"160",695
"161",702
"162",708
"163",716
"164",724
"165",728
"166",730
"167",734
"168",735
"169",738
"170",740
"171",743
"172",745
"173",752
"174",760
"175",762
"176",769
"177",771
"178",780
"179",781
"180",782
"181",787
"182",798
"183",816
"184",820
"185",829
"186",832
"187",847
"188",852
"189",860
"190",866
"191",872
"192",877
"193",881
"194",894
"195",899
"196",901
"197",902
"198",903
"199",908
"200",920
"201",924
"202",926
"203",934
"204",935
"205",949
"206",953
"207",957
"208",961
"209",962
"210",963
"211",965
"212",969
"213",977
"214",978
"215",980
"216",1015
"217",1016
"218",1017
"219",1020
"220",1027
"221",1028
"222",1030
"223",1032
"224",1037
"225",1044
"226",1048
"227",1051
"228",1056
"229",1066
"230",1067
"231",1073
"232",1075
"233",1078
"234",1087
"235",1088
"236",1091
"237",1093
"238",1094
"239",1105
"240",1111
"241",1114
"242",1116
"243",1120
"244",1122
"245",1123
"246",1125
"247",1131
"248",1133
"249",1136
"250",1142
"251",1145
"252",1148
"253",1151
"254",1155
"255",1161
"256",1164
"257",1171
"258",1182
"259",1183
"260",1186
"261",1192
"262",1199
"263",1203
"264",1206
"265",1214
"266",1220
"267",1224
"268",1229
"269",1236
"270",1238
"271",1257
"272",1262
"273",1266
"274",1270
"275",1273
"276",1276
"277",1284
"278",1290
"279",1292
"280",1294
"281",1298
"282",1305
"283",1314
"284",1320
"285",1321
"286",1361
"287",1362
"288",1364
"289",1369
"290",1370
"291",1376
"292",1377
"293",1381
"294",1383
"295",1385
"296",1387
"297",1388
"298",1389
"299",1395
"300",1404
"301",1407
"302",1418
"303",1421
"304",1424
"305",1432
"306",1434
"307",1441
"308",1444
"309",1447
"310",1450
"311",1463
"312",1464
"313",1465
"314",1466
"315",1468
"316",1475
"317",1479
"318",1488
"319",1489
"320",1490
"321",1493
"322",1496
"323",1500
"324",1508
"325",1516
"326",1517
"327",1523
"328",1528
"329",1530
"330",1533
"331",1534
"332",1539
"333",1540
"334",1547
"335",1549
"336",1550
"337",1554
"338",1562
"339",1586
"340",1592
"341",1593
"342",1597
"343",1603
"344",1607
"345",1610
"346",1612
"347",1620
"348",1621
"349",1625
"350",1626
"351",1631
"352",1638
"353",1639
"354",1660
"355",1669
"356",1670
"357",1675
"358",1687
"359",1690
"360",1692
"361",1703
"362",1710
"363",1711
"364",1717
"365",1719
"366",1721
"367",1727
"368",1729
"369",1755
"370",1757
"371",1763
"372",1767
"373",1773
"374",1776
"375",1778
"376",1780
"377",1781
"378",1782
"379",1784
"380",1787
"381",1789
"382",1792
"383",1794
"384",1797
"385",1798
"386",1801
"387",1812
"388",1816
"389",1820
"390",1824
"391",1827
"392",1828
"393",1829
"394",1833
"395",1834
"396",1835
"397",1836
"398",1838
"399",1839
"400",1841
"401",1844
"402",1853
"403",1862
"404",1865
"405",1866
"406",1870
"407",1874
"408",1878
"409",1880
"410",1885
"411",1888
"412",1889
"413",1890
"414",1901
"415",1920
"416",1921
"417",1924
"418",1933
"419",1934
"420",1936
"421",1937
"422",1941
"423",1950
"424",1962
"425",1964
"426",1969
"427",1972
"428",2004
"429",2005
"430",2011
"431",2023
"432",2037
"433",2040
"434",2047
"435",2057
"436",2061
"437",2063
"438",2066
"439",2079
"440",2082
"441",2083
"442",2085
"443",2086
"444",2092
"445",2093
"446",2094
"447",2097
"448",2098
"449",2099
"450",2100
"451",2108
"452",2117
"453",2127
"454",2132
"455",2134
"456",2142
"457",2143
"458",2146
"459",2147
"460",2149
"461",2150
"462",2151
"463",2153
"464",2157
"465",2159
"466",2163
"467",2169
"468",2181
"469",2182
"470",2185
"471",2188
"472",2192
"473",2198
"474",2205
"475",2206
"476",2208
"477",2210
"478",2212
"479",2223
"480",2227
"481",2229
"482",2238
"483",2246
"484",2252
"485",2274
"486",2281
"487",2282
"488",2286
"489",2288
"490",2293
"491",2295
"492",2301
"493",2304
"494",2306
"495",2310
"496",2317
"497",2331
"498",2332
"499",2335
"500",2341
"501",2345
"502",2347
"503",2351
"504",2354
"505",2360
"506",2367
"507",2368
"508",2369
"509",2397
"510",2401
"511",2404
"512",2407
"513",2409
"514",2416
"515",2417
"516",2433
"517",2435
"518",2440
"519",2445
"520",2446
"521",2447
"522",2449
"523",2453
"524",2454
"525",2456
"526",2457
"527",2458
"528",2472
"529",2476
"530",2477
"531",2478
"532",2481
"533",2483
"534",2484
"535",2493
"536",2500
"537",2506
"538",2511
"539",2512
"540",2521
"541",2523
"542",2525
"543",2530
"544",2534
"545",2535
"546",2548
"547",2549
"548",2550
"549",2556
"550",2557
"551",2563
"552",2564
"553",2570
"554",2572
"555",2573
"556",2575
"557",2579
"558",2581
"559",2584
"560",2588
"561",2591
"562",2592
"563",2599
"564",2601
"565",2602
"566",2603
"567",2604
"568",2625
"569",2634
"570",2646
"571",2647
"572",2649
"573",2650
"574",2651
"575",2654
"576",2659
"577",2660
"578",2662
"579",2664
"580",2666
"581",2687
"582",2703
"583",2720
"584",2722
"585",2725
"586",2726
"587",2727
"588",2735
"589",2747
"590",2766
"591",2775
"592",2776
"593",2777
"594",2785
"595",2786
"596",2792
"597",2798
"598",2804
"599",2809
"600",2810
"601",2816
"602",2821
"603",2824
"604",2831
"605",2835
"606",2836
"607",2841
"608",2846
"609",2847
"610",2853
"611",2857
